location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Barry, Missouri",29009,Confirmed (per 100k),11.177,0.399,0.035714,12.127,3,1,4,0
"McMinn, Tennessee",47107,Confirmed (per 100k),11.154,0.531,0.047619,12.820,3,1,4,0
"Webster, Iowa",19187,Confirmed (per 100k),11.141,0.398,0.035714,10.740,3,1,4,4
"Van Wert, Ohio",39161,Confirmed (per 100k),10.610,0.505,0.047619,10.047,3,1,4,4
"Meade, Kentucky",21163,Confirmed (per 100k),10.500,0.500,0.047619,10.047,3,1,4,4
"Bryan, Oklahoma",40013,Confirmed (per 100k),10.418,0.595,0.057143,11.087,3,1,4,0
"Pike, Kentucky",21195,Confirmed (per 100k),10.367,0.494,0.047619,12.820,3,1,4,-3
"Otter Tail, Minnesota",27111,Confirmed (per 100k),10.213,0.486,0.047619,10.393,3,1,4,1
"Pittsylvania, Virginia",51143,Confirmed (per 100k),9.941,0.473,0.047619,11.780,3,1,4,0
"Morgan, Missouri",29141,Confirmed (per 100k),9.696,0.693,0.071429,7.273,3,1,4,-1
"Boone, West Virginia",54005,Confirmed (per 100k),9.321,0.666,0.071429,7.273,3,1,4,-1
"Lake, California",6033,Confirmed (per 100k),9.319,0.444,0.047619,12.473,3,1,4,0
"Beckham, Oklahoma",40009,Confirmed (per 100k),9.150,0.654,0.071429,7.966,3,1,4,-1
"Bannock, Idaho",16005,Confirmed (per 100k),9.111,0.488,0.053571,10.509,3,1,4,0
"Carter, Tennessee",47019,Confirmed (per 100k),8.867,0.507,0.057143,9.353,3,1,4,0
"Manitowoc, Wisconsin",55071,Confirmed (per 100k),8.863,0.362,0.040816,11.433,3,1,4,2
"Meigs, Ohio",39105,Confirmed (per 100k),8.731,0.624,0.071429,7.966,3,1,4,-1
"McLeod, Minnesota",27085,Confirmed (per 100k),8.358,0.398,0.047619,10.740,3,1,4,4
"Haywood, North Carolina",37087,Confirmed (per 100k),8.023,0.458,0.057143,9.700,3,1,4,0
"Kerr, Texas",48265,Confirmed (per 100k),7.605,0.543,0.071429,7.619,3,1,4,-1
"San Miguel, New Mexico",35047,Confirmed (per 100k),7.332,0.524,0.071429,7.966,3,1,4,-1
"Bingham, Idaho",16011,Confirmed (per 100k),6.409,0.305,0.047619,11.433,3,1,4,0
"Washington, Maine",23029,Confirmed (per 100k),6.374,0.455,0.071429,7.966,3,1,4,-1
"Aroostook, Maine",23003,Confirmed (per 100k),4.474,0.213,0.047619,12.127,3,1,4,0
"Matagorda, Texas",48321,Confirmed (per 100k),150.097,0.780,0.005195,121.994,3,0,3,-1
