State,Metric,Date,Value
Puerto Rico,Deaths,2020-03-22T04:00:00Z,1
Puerto Rico,Deaths,2020-03-23T04:00:00Z,2
Puerto Rico,Deaths,2020-03-24T04:00:00Z,2
Puerto Rico,Deaths,2020-03-25T04:00:00Z,2
Puerto Rico,Deaths,2020-03-26T04:00:00Z,2
Puerto Rico,Deaths,2020-03-27T04:00:00Z,3
Puerto Rico,Deaths,2020-03-28T04:00:00Z,3
Puerto Rico,Deaths,2020-03-29T04:00:00Z,3
Puerto Rico,Deaths,2020-03-30T04:00:00Z,6
Puerto Rico,Deaths,2020-03-31T04:00:00Z,8
Puerto Rico,Deaths,2020-04-01T04:00:00Z,11
Puerto Rico,Deaths,2020-04-02T04:00:00Z,12
Puerto Rico,Deaths,2020-04-03T04:00:00Z,15
Puerto Rico,Deaths,2020-04-04T04:00:00Z,18
Puerto Rico,Deaths,2020-04-05T04:00:00Z,20
Puerto Rico,Deaths,2020-04-06T04:00:00Z,21
Puerto Rico,Deaths,2020-04-07T04:00:00Z,23
Puerto Rico,Deaths,2020-04-08T04:00:00Z,24
Puerto Rico,Deaths,2020-04-09T04:00:00Z,33
Puerto Rico,Deaths,2020-04-10T04:00:00Z,39
Puerto Rico,Deaths (per 100k),2020-03-22T04:00:00Z,0.03
Puerto Rico,Deaths (per 100k),2020-03-23T04:00:00Z,0.06
Puerto Rico,Deaths (per 100k),2020-03-24T04:00:00Z,0.06
Puerto Rico,Deaths (per 100k),2020-03-25T04:00:00Z,0.06
Puerto Rico,Deaths (per 100k),2020-03-26T04:00:00Z,0.06
Puerto Rico,Deaths (per 100k),2020-03-27T04:00:00Z,0.09
Puerto Rico,Deaths (per 100k),2020-03-28T04:00:00Z,0.09
Puerto Rico,Deaths (per 100k),2020-03-29T04:00:00Z,0.09
Puerto Rico,Deaths (per 100k),2020-03-30T04:00:00Z,0.19
Puerto Rico,Deaths (per 100k),2020-03-31T04:00:00Z,0.25
Puerto Rico,Deaths (per 100k),2020-04-01T04:00:00Z,0.34
Puerto Rico,Deaths (per 100k),2020-04-02T04:00:00Z,0.38
Puerto Rico,Deaths (per 100k),2020-04-03T04:00:00Z,0.47
Puerto Rico,Deaths (per 100k),2020-04-04T04:00:00Z,0.56
Puerto Rico,Deaths (per 100k),2020-04-05T04:00:00Z,0.63
Puerto Rico,Deaths (per 100k),2020-04-06T04:00:00Z,0.66
Puerto Rico,Deaths (per 100k),2020-04-07T04:00:00Z,0.72
Puerto Rico,Deaths (per 100k),2020-04-08T04:00:00Z,0.75
Puerto Rico,Deaths (per 100k),2020-04-09T04:00:00Z,1.03
