Region,Nation,Model,Metric,Forecast Date,Peak Day,Peak Value,May 1,June 1,July 1,May 1 Total,June 1 Total,July 1 Total,Total,Curve,Parameters,k,First Fit Day,Last Fit Day,SE Totals,SE Deltas
Pennsylvania,US,Gompertz21,Deaths,2020-04-26,2020-04-22,113.5,97.1,17.4,2.2,2535,4096,4318,4349,Gompertz,4348.862943532244; 0.07094407703944113; 34.3054497176178,0.071,2020-04-05,2020-04-25,63.0,57.0
Puerto Rico,US,Gompertz21,Deaths,2020-04-26,2020-04-27,7.5,7.4,3.1,0.8,176,343,395,412,Gompertz,411.82480414436424; 0.049696486777172595; 37.72828977485129,0.050,2020-03-22,2020-04-11,1.5,1.6
Puerto Rico,US,Gompertz21,Deaths,2020-04-26,2020-04-10,3.3,1.2,0.1,0.0,85,98,98,99,Gompertz,98.52454804645731; 0.09191222720530212; 20.223203587289532,0.092,2020-03-29,2020-04-18,2.0,2.1
Puerto Rico,US,Gompertz21,Deaths,2020-04-26,2020-04-10,3.2,1.3,0.1,0.0,86,101,103,103,Gompertz,102.68356685382575; 0.08575558990802148; 20.87473742836869,0.086,2020-04-05,2020-04-25,3.1,2.7
Rhode Island,US,Gompertz21,Deaths,2020-04-26,2020-04-16,6.9,4.4,0.6,0.1,176,237,244,244,Gompertz,244.355895647422; 0.07680273915363471; 19.460668907626054,0.077,2020-03-22,2020-04-11,1.8,2.9
Rhode Island,US,Gompertz21,Deaths,2020-04-26,2020-05-12,27.5,24.1,21.8,9.1,376,1174,1624,1867,Gompertz,1867.1175987671752; 0.04; 45.789993106236544,0.040,2020-03-29,2020-04-18,5.1,6.1
Rhode Island,US,Gompertz21,Deaths,2020-04-26,2020-04-25,13.8,13.0,3.5,0.6,300,547,597,606,Gompertz,606.4021037687581; 0.0616814355026218; 28.28296576909592,0.062,2020-04-05,2020-04-25,6.6,6.6
South Carolina,US,Gompertz21,Deaths,2020-04-26,2020-04-22,8.1,7.5,2.7,0.7,233,389,434,448,Gompertz,448.45946729131185; 0.04920797610224566; 37.39185215895102,0.049,2020-03-22,2020-04-11,2.1,2.8
South Carolina,US,Gompertz21,Deaths,2020-04-26,2020-04-17,6.7,5.4,1.4,0.3,203,300,321,327,Gompertz,326.5062240095376; 0.0558287305139575; 32.6991526695778,0.056,2020-03-29,2020-04-18,2.9,3.9
South Carolina,US,Gompertz21,Deaths,2020-04-26,2020-04-17,6.2,4.9,1.3,0.3,192,280,300,304,Gompertz,304.3464039321098; 0.05512388918734575; 32.0216714186212,0.055,2020-04-05,2020-04-25,4.9,4.8
South Dakota,US,Gompertz21,Deaths,2020-04-26,2020-04-26,1.0,0.9,0.4,0.1,25,46,53,55,Gompertz,55.08916011582285; 0.04793365827245482; 46.39698493942366,0.048,2020-03-22,2020-04-11,0.7,0.6
